node1,node2,signYear,EIFYear,endYearEstimated,type,category
190,30,1984,1984,2010,sector,PROCUREMENT
190,30,1994,1994,2010,general,DCA
190,30,1996,1996,2010,sector,PROCUREMENT
190,30,1996,1996,2010,sector,RESEARCH
190,30,1999,,2005,sector,PROCUREMENT
190,30,2002,,2008,general,DCA
190,36,2009,2009,2010,sector,RESEARCH
190,36,2009,2009,2010,general,DCA
190,23,1983,1984,2010,general,DIC
190,23,1984,1984,2010,general,DIC
190,23,2010,,2010,general,DCA
190,139,2006,,2010,general,DCA
190,34,1996,,2002,general,DCA
190,34,2008,2008,2010,sector,RESEARCH
190,6,1992,1992,2010,sector,TREX
190,6,1998,1998,2010,sector,RESEARCH
190,6,1999,,2010,sector,COMMISSION
190,6,2000,,2006,sector,RESEARCH
190,6,2008,,2010,sector,TREX
190,189,1988,1988,2010,sector,RESEARCH
190,189,1993,1993,2010,general,DCA
190,189,1994,1994,2010,sector,RESEARCH
190,189,1994,,2000,general,DIC
190,189,2000,2000,2010,sector,RESEARCH
190,189,2004,2004,2010,general,DIC
190,126,1998,1998,2010,sector,RESEARCH
190,103,2010,2010,2010,general,DIC
190,61,1994,1994,2010,sector,RESEARCH
190,172,1988,1988,2010,general,DIC
190,172,2007,2007,2010,general,DIC
190,166,1980,1980,2010,sector,RESEARCH
190,166,1982,1982,2010,general,DIC
190,166,1988,1989,2010,general,DCA
190,166,2002,,2008,general,DIC
190,166,2002,,2010,general,DCA
190,143,1995,1995,2010,general,DCA
190,65,1995,1995,2009,sector,RESEARCH
190,65,2009,2009,2010,sector,RESEARCH
190,142,1995,1995,2010,sector,RESEARCH
190,9,1991,1991,2010,sector,PROCUREMENT
190,77,1995,1995,2010,sector,RESEARCH
190,46,1996,1996,2006,sector,RESEARCH
190,46,2008,2008,2010,sector,RESEARCH
190,46,2009,2009,2010,sector,TREX
190,160,1994,,2000,sector,COMMISSION
190,160,1995,,2001,sector,PROCUREMENT
190,85,2006,2006,2010,sector,RESEARCH
190,85,2008,2009,2010,general,DIC
190,1,1993,,1999,general,DCA
190,1,2003,2003,2010,general,DCA
190,104,2004,2004,2010,general,DCA
190,43,1994,,2000,general,DCA
190,43,1995,,2001,sector,TREX
190,43,2003,2003,2010,general,DCA
190,206,2006,2009,2010,general,DCA
190,21,2005,2005,2010,general,DCA
190,21,2008,,2010,sector,TREX
190,161,1995,,2001,general,DCA
190,161,1999,2000,2010,general,DCA
190,67,1983,1983,2010,general,DCA
190,67,1986,1986,2010,general,DIC
190,67,1990,1990,2010,general,DCA
190,25,1994,,2000,general,DCA
190,25,2006,2006,2010,general,DCA
190,116,1995,1995,2010,general,DCA
190,116,1997,1997,2010,general,DCA
190,146,1998,2003,2010,general,DCA
190,57,2002,2002,2009,general,DCA
190,96,1995,,2001,general,DCA
190,102,1994,,2000,general,DCA
190,102,1997,1997,2010,sector,RESEARCH
190,102,2009,2010,2010,general,DCA
190,187,1993,1993,1999,general,DCA
190,187,2000,2001,2010,sector,RESEARCH
190,15,1993,,1999,sector,COMMISSION
190,7,2001,,2007,general,DCA
190,7,2002,,2008,general,DCA
190,7,2003,,2009,general,DCA
190,64,1997,1997,2010,general,DCA
190,64,1998,,2004,general,DCA
190,64,2002,2003,2010,general,DCA
190,64,2005,,2010,sector,TREX
190,10,1999,2003,2010,general,DCA
190,10,2000,,2006,general,DCA
190,10,2000,,2006,sector,TREX
190,10,2002,,2008,general,DCA
190,60,1991,,2009,general,DIC
190,60,1995,1995,2010,sector,RESEARCH
190,60,2005,,2010,general,DCA
190,60,2008,2009,2010,general,DIC
190,171,1987,1987,2010,general,DIC
190,171,1997,1997,2010,sector,RESEARCH
190,171,1997,1997,2010,sector,RESEARCH
190,171,1999,1999,2010,sector,TREX
190,47,1980,1980,2010,general,DIC
190,18,1996,1996,2010,sector,COMMISSION
190,62,2006,,2010,sector,TREX
190,148,2004,,2010,sector,TREX
190,197,1992,,1998,sector,TREX
190,164,2001,2001,2010,sector,RESEARCH
190,120,1982,,1988,sector,COMMISSION
190,2,2010,,2010,general,DCA
190,183,1980,1980,2010,general,DIC
190,183,1980,1980,2010,general,DCA
190,183,1981,,1987,sector,COMMISSION
190,183,1982,,1988,general,DCA
190,53,1988,1988,2010,general,DIC
190,173,1998,1998,2010,sector,RESEARCH
190,84,1987,1987,2010,general,DIC
190,84,1988,1988,2010,sector,COMMISSION
190,84,1989,1989,1994,sector,RESEARCH
190,84,1996,1996,2010,sector,RESEARCH
190,84,1998,,2004,general,DCA
190,154,1982,,1988,sector,COMMISSION
190,154,1999,,2005,sector,TREX
190,196,2009,,2010,sector,TREX
190,93,1991,,2001,general,DCA
190,12,1991,,1997,general,DCA
190,144,1992,,1998,general,DCA
190,188,1994,,2000,general,DCA
190,192,1998,,2004,general,DCA
190,192,2000,,2006,general,DCA
190,192,2001,2001,2010,general,DCA
190,192,2009,,2010,sector,TREX
190,89,1996,,2002,sector,COMMISSION
190,89,1997,,2003,general,DCA
190,89,2002,,2008,sector,TREX
190,118,1996,,2002,sector,TREX
190,145,1988,1988,2010,general,DIC
190,145,1991,1991,2010,sector,COMMISSION
190,145,1996,1996,2010,sector,RESEARCH
190,145,2009,2009,2010,sector,RESEARCH
190,87,1983,1983,2010,general,DIC
190,87,1990,,1996,sector,RESEARCH
190,79,1991,,1997,sector,TREX
190,79,1995,,2001,general,DIC
190,79,2004,2004,2010,sector,RESEARCH
190,79,2005,,2010,general,DIC
190,79,2006,2006,2010,sector,RESEARCH
190,134,1995,,2001,sector,COMMISSION
190,13,1989,1989,2010,sector,TREX
190,159,1995,1995,2010,sector,RESEARCH
190,159,1998,1998,2010,sector,RESEARCH
190,159,2003,2003,2010,sector,RESEARCH
190,159,2005,2005,2010,general,DCA
190,24,1994,,2000,general,DCA
190,80,2010,2010,2010,general,DCA
190,8,1994,1994,2010,sector,RESEARCH
190,8,1995,1995,2010,sector,PROCUREMENT
190,8,1995,1995,2010,general,DCA
190,8,2007,2013,2010,sector,PROCUREMENT
190,127,1996,1996,2010,general,DCA
190,127,2010,2010,2010,sector,RESEARCH
30,17,1985,,1991,sector,TREX
30,169,2004,,2010,sector,TREX
30,189,2006,,2010,sector,TREX
30,16,1987,1987,2010,general,DIC
30,166,1991,,1997,general,DIC
30,166,1993,,1999,general,DIC
30,142,1994,,2010,general,DCA
30,46,1994,1994,2010,general,DCA
30,160,1995,,2001,general,DCA
30,1,2005,2005,2010,sector,TREX
30,21,2005,,2010,sector,TREX
30,25,1999,,2005,general,DCA
30,146,1993,1993,2010,general,DCA
30,146,1993,1994,2010,sector,COMMISSION
30,146,1999,,2005,general,DIC
30,147,1992,1993,2010,general,DCA
30,57,1997,1997,2003,general,DCA
30,96,2009,,2010,general,DCA
30,187,1994,1994,2010,sector,COMMISSION
30,187,1994,1999,2010,general,DCA
30,171,2004,2004,2010,general,DIC
30,164,1998,,2004,general,DIC
30,145,1996,,2002,general,DIC
30,87,1999,,2005,sector,COMMISSION
30,87,2010,2010,2010,sector,COMMISSION
30,141,2008,,2010,sector,TREX
44,166,1995,,2001,general,DCA
44,147,1997,,2003,general,DCA
44,147,2000,,2006,sector,PROCUREMENT
44,147,2006,2007,2010,sector,PROCUREMENT
44,4,2002,,2008,sector,TREX
44,35,2000,,2006,general,DCA
50,23,2010,,2010,general,DCA
69,23,2006,2009,2010,general,DCA
69,34,2003,,2010,general,DCA
69,166,2006,,2010,general,DCA
75,23,2007,,2010,general,DCA
75,6,2006,2006,2010,general,DCA
75,166,2006,,2010,general,DCA
54,140,2008,,2010,general,DCA
54,23,2007,,2010,general,DCA
54,6,2009,,2010,general,DCA
54,166,2006,,2010,general,DCA
128,166,2006,,2010,general,DCA
128,147,2001,,2010,sector,PROCUREMENT
137,85,2010,2010,2010,general,DIC
36,23,2003,2003,2010,general,DCA
36,23,2008,,2010,general,DCA
36,61,1996,1996,2010,general,DIC
36,46,2006,2006,2010,general,DIC
36,147,1996,1996,2010,general,DIC
194,52,2009,,2010,general,DCA
194,20,2008,,2010,general,DCA
194,6,2004,,2010,general,DIC
194,166,2005,,2010,general,DIC
194,147,2001,2007,2010,general,DIC
194,147,2009,,2010,general,DCA
194,15,2006,,2010,sector,PROCUREMENT
194,15,2007,,2010,general,DCA
194,81,2009,,2010,sector,COMMISSION
194,145,1999,,2005,general,DIC
72,23,2009,,2010,general,DCA
169,23,2008,,2010,general,DCA
52,23,2007,2012,2010,general,DCA
52,34,1999,,2005,general,DCA
52,34,2010,,2010,general,DIC
52,6,2007,2007,2010,general,DCA
52,191,2010,2012,2010,general,DCA
52,166,2005,,2010,sector,COMMISSION
52,166,2008,,2010,general,DCA
52,147,2008,2009,2010,sector,PROCUREMENT
140,23,2006,2010,2010,general,DCA
140,23,2006,2006,2010,sector,COMMISSION
140,34,2001,2001,2010,sector,COMMISSION
140,6,2006,2009,2010,sector,COMMISSION
140,6,2008,2008,2010,sector,RESEARCH
140,61,2003,2004,2010,sector,PROCUREMENT
140,166,2006,,2010,general,DCA
140,166,2010,,2010,general,DIC
140,142,2008,2010,2010,general,DCA
140,85,2002,2003,2010,general,DIC
140,85,2010,,2010,general,DIC
140,147,1996,1996,2010,sector,PROCUREMENT
140,147,2004,2007,2010,general,DIC
140,187,2010,,2010,general,DCA
140,84,2008,,2010,general,DIC
140,145,2010,,2010,sector,PROCUREMENT
140,79,2006,,2010,general,DCA
23,20,2007,2010,2010,general,DCA
23,139,1995,1996,2010,general,DCA
23,139,2007,,2010,general,DCA
23,139,2007,2007,2010,sector,COMMISSION
23,34,2000,2000,2010,sector,COMMISSION
23,34,2007,2009,2010,general,DCA
23,6,1997,1997,2003,sector,COMMISSION
23,6,2005,2007,2010,general,DCA
23,6,2005,2008,2010,general,DIC
23,6,2010,,2010,sector,COMMISSION
23,191,2010,,2010,general,DCA
23,189,1981,1981,2010,sector,TREX
23,189,2000,2000,2010,sector,COMMISSION
23,189,2010,,2010,general,DCA
23,61,1982,,1988,sector,PROCUREMENT
23,61,2008,2008,2010,general,DCA
23,166,2010,,2010,general,DCA
23,143,2005,2009,2010,general,DCA
23,65,2002,2002,2010,general,DCA
23,65,2010,,2010,general,DCA
23,142,2010,,2010,general,DCA
23,46,2010,,2010,general,DCA
23,160,1997,1997,2010,general,DCA
23,85,2008,2011,2010,general,DCA
23,85,2010,2010,2010,sector,PROCUREMENT
23,206,2010,2012,2010,general,DCA
23,147,2002,,2010,sector,PROCUREMENT
23,147,2008,2010,2010,general,DIC
23,187,2003,2006,2010,general,DCA
23,187,2010,,2010,general,DCA
23,171,2000,2000,2010,general,DIC
23,171,2001,2001,2010,sector,TREX
23,31,1987,,1993,sector,TREX
23,31,1994,,2010,sector,TREX
23,153,2010,,2010,general,DCA
23,71,2006,,2010,general,DCA
23,55,2010,,2010,general,DCA
23,155,2010,,2010,general,DCA
23,130,2010,,2010,general,DCA
23,4,2010,,2010,general,DCA
23,121,2009,,2010,general,DCA
23,164,2003,,2010,general,DCA
23,123,2009,,2010,general,DCA
23,183,2003,2007,2010,general,DCA
23,84,2010,,2010,general,DIC
23,154,1984,1984,1994,general,DIC
23,35,2004,,2010,sector,RESEARCH
23,145,2006,2008,2010,general,DCA
23,79,2003,2006,2010,general,DCA
23,178,2010,,2010,general,DCA
20,20,2006,,2010,general,DCA
20,34,2008,,2010,general,DCA
20,6,1996,2002,2010,sector,COMMISSION
20,166,2001,,2007,general,DCA
20,147,2009,,2010,sector,PROCUREMENT
139,6,1996,,2002,sector,COMMISSION
139,6,1997,,2003,general,DCA
139,6,2007,2009,2010,sector,COMMISSION
139,6,2008,2008,2010,general,DCA
139,191,2010,2012,2010,general,DCA
34,6,1995,,2001,sector,COMMISSION
34,6,2001,2001,2006,sector,RESEARCH
34,191,2007,2009,2010,general,DCA
34,189,1991,,1997,sector,TREX
34,61,1996,,2002,sector,COMMISSION
34,166,1997,,2010,general,DCA
34,166,1997,,2003,sector,COMMISSION
34,166,2004,,2009,general,DIC
34,65,1993,,1999,general,DCA
34,65,1996,,2002,general,DCA
34,85,1997,2001,2010,general,DIC
34,67,2004,,2010,general,DCA
34,147,1997,,2003,sector,PROCUREMENT
34,147,2002,,2008,sector,PROCUREMENT
34,147,2004,,2010,general,DIC
34,147,2009,,2010,general,DCA
34,171,1997,1997,2010,general,DIC
34,164,2006,2009,2010,general,DCA
34,183,2004,2007,2010,general,DCA
34,79,2007,,2010,general,DCA
34,107,1993,1993,2010,general,DCA
6,191,2010,2010,2010,sector,COMMISSION
6,189,1998,1998,2010,general,DCA
6,16,2001,,2007,general,DCA
6,61,1998,2004,2010,general,DCA
6,61,2002,,2008,sector,TREX
6,166,1989,,2010,general,DIC
6,166,1992,,1998,general,DCA
6,166,1998,,2004,general,DIC
6,166,2005,2005,2010,general,DCA
6,166,2008,2008,2010,sector,COMMISSION
6,143,2004,,2010,general,DCA
6,85,1992,,1998,general,DIC
6,85,1992,1997,2010,general,DCA
6,85,2010,,2010,general,DIC
6,147,1992,1992,2010,general,DIC
6,147,2004,2007,2010,sector,PROCUREMENT
6,187,1998,1998,2010,general,DCA
6,164,1997,,2003,sector,TREX
6,164,2010,2010,2010,general,DCA
6,120,2009,2009,2010,general,DCA
6,183,1995,,2001,sector,RESEARCH
6,84,2010,2010,2010,general,DIC
6,35,2007,2007,2010,general,DCA
191,143,2007,2012,2010,general,DCA
191,147,2002,2004,2010,general,DIC
189,61,2010,2011,2010,general,DCA
189,172,2002,2002,2010,general,DCA
189,172,2004,2004,2010,sector,TREX
189,166,1985,1985,2010,general,DIC
189,166,1985,,1991,sector,RESEARCH
189,166,2001,,2007,general,DIC
189,46,1997,,2003,general,DCA
189,46,1999,1999,2010,general,DIC
189,160,1993,,1999,general,DCA
189,160,1998,,2004,sector,TREX
189,160,1998,,2010,general,DCA
189,1,1993,1993,2010,general,DCA
189,1,2003,,2009,sector,TREX
189,104,1996,,2002,general,DCA
189,43,1998,,2004,general,DCA
189,43,2002,,2008,general,DCA
189,43,2006,2007,2010,sector,TREX
189,206,2002,2002,2010,general,DCA
189,206,2009,2010,2010,general,DCA
189,161,1995,1995,2010,general,DCA
189,161,1998,1999,2010,general,DIC
189,161,2004,,2010,sector,TREX
189,67,1983,,1989,sector,COMMISSION
189,25,1995,,2001,general,DCA
189,25,2007,,2010,general,DIC
189,116,2006,,2010,general,DCA
189,57,1994,1994,2000,general,DCA
189,57,2010,,2010,sector,PROCUREMENT
189,96,1994,,2000,general,DCA
189,102,1994,,2010,general,DCA
189,102,1997,,2003,sector,TREX
189,187,1993,1993,1999,general,DCA
189,187,2001,,2007,general,DCA
189,15,1994,,2000,general,DCA
189,7,2004,,2010,general,DCA
189,64,1996,1996,2006,general,DCA
189,64,1999,,2005,general,DCA
189,10,2004,,2010,general,DCA
189,60,1993,,1999,general,DIC
189,171,1994,1994,2010,general,DIC
189,132,1986,1986,1992,general,DIC
189,158,1997,,2003,sector,TREX
189,130,2001,,2007,sector,TREX
189,130,2008,,2010,sector,TREX
189,90,2006,,2010,sector,TREX
189,164,1997,1997,2010,sector,RESEARCH
189,164,1997,1997,2007,general,DCA
189,164,1997,,2003,general,DIC
189,164,2007,2007,2010,general,DCA
189,2,2009,,2010,sector,TREX
189,84,1998,,2004,sector,RESEARCH
189,154,1988,,1994,sector,PROCUREMENT
189,154,2005,,2010,sector,PROCUREMENT
189,93,1992,,1998,sector,PROCUREMENT
189,12,1992,,1998,general,DCA
189,12,2000,,2006,general,DCA
189,144,1996,,2002,sector,TREX
189,188,1996,,2002,general,DCA
189,94,2006,2006,2010,general,DCA
189,89,2000,2000,2010,general,DCA
189,79,1983,,1989,general,DIC
189,79,1988,,1994,general,DIC
189,79,1993,,1999,general,DIC
189,134,2005,,2010,sector,TREX
189,177,1990,,1996,sector,PROCUREMENT
189,107,1988,,1994,general,DIC
189,107,1998,,2004,general,DCA
189,141,1996,,2006,general,DCA
189,8,1988,,1994,general,DIC
83,172,2008,2008,2010,general,DIC
126,61,1984,,1990,general,DIC
126,172,2004,2004,2010,general,DIC
126,172,2007,2008,2010,sector,TREX
126,166,1985,1985,2010,general,DIC
126,65,2006,2007,2010,general,DCA
126,46,1995,1995,2010,general,DCA
126,160,1995,,2001,general,DCA
126,160,2008,,2010,general,DCA
126,1,1998,,2004,general,DCA
126,104,1997,,2003,sector,TREX
126,161,1999,,2005,general,DCA
126,25,1996,,2002,general,DCA
126,25,2000,,2006,sector,RESEARCH
126,96,2008,,2010,general,DCA
126,102,1996,,2002,general,DCA
126,102,1998,,2004,general,DCA
126,102,2008,,2010,general,DCA
126,187,1995,,2001,general,DCA
126,187,1996,,2002,general,DCA
126,187,1996,1996,2010,general,DCA
126,64,2006,,2008,general,DCA
126,60,1996,,2002,general,DIC
126,164,2005,2005,2010,general,DCA
126,183,1988,,1994,sector,PROCUREMENT
126,93,1995,,2001,sector,PROCUREMENT
126,145,1996,,2002,general,DIC
126,134,2006,,2010,general,DCA
16,172,2007,2007,2010,general,DIC
16,166,1985,1987,2010,sector,RESEARCH
16,142,1993,,1995,sector,TREX
16,77,1989,1989,2010,general,DCA
16,46,1994,,2000,general,DCA
16,160,1994,,2000,general,DCA
16,1,2005,2005,2010,general,DCA
16,43,2002,2002,2010,general,DCA
16,206,2003,2004,2010,general,DCA
16,161,2001,2002,2010,general,DCA
16,25,1994,,2000,general,DCA
16,116,2004,,2010,general,DCA
16,146,1993,,1999,general,DCA
16,57,2002,,2008,general,DCA
16,96,2001,,2007,general,DCA
16,96,2002,,2008,sector,TREX
16,102,1994,,2000,general,DCA
16,102,2001,,2010,general,DCA
16,187,2002,2002,2010,general,DCA
16,18,1999,,2005,general,DCA
16,18,2006,,2010,sector,TREX
16,18,2008,,2010,general,DCA
16,39,2008,,2010,sector,TREX
16,27,2005,,2010,general,DCA
16,148,2009,,2010,sector,COMMISSION
16,164,2006,2006,2010,general,DCA
16,182,2009,2009,2010,general,DCA
16,183,1987,1987,2010,general,DCA
16,183,1990,1990,2010,sector,TREX
16,195,2003,,2009,general,DCA
103,160,2002,,2008,general,DCA
103,160,2003,,2009,general,DCA
103,102,2002,,2008,general,DCA
61,172,2000,2000,2010,general,DIC
61,172,2003,2003,2010,sector,TREX
61,172,2004,2004,2010,general,DIC
61,166,1983,1985,2010,general,DCA
61,166,1996,,2002,general,DIC
61,143,1999,2000,2010,general,DCA
61,220,1988,,1994,sector,COMMISSION
61,142,1992,1992,2002,general,DCA
61,142,2002,2002,2010,general,DCA
61,207,1992,1992,2010,general,DCA
61,46,1992,1992,2010,general,DCA
61,160,1994,,2000,general,DCA
61,160,2009,2011,2010,general,DCA
61,1,1994,,2000,general,DCA
61,1,1996,1996,2010,general,DCA
61,104,1996,,2002,general,DCA
61,43,1997,,2003,general,DCA
61,161,2002,2002,2010,general,DCA
61,67,1992,,1998,sector,COMMISSION
61,67,2008,,2010,general,DIC
61,45,2007,2010,2010,general,DCA
61,25,1992,,1998,general,DCA
61,116,2002,,2008,sector,TREX
61,146,1998,2004,2010,general,DCA
61,147,1994,1994,2004,general,DCA
61,147,1994,1994,2010,general,DIC
61,57,1994,1994,2010,general,DCA
61,96,1994,,2000,sector,TREX
61,102,1994,,2000,general,DCA
61,187,1996,1996,2010,general,DIC
61,15,2007,,2010,general,DCA
61,7,2010,,2010,general,DCA
61,64,1997,1997,2010,general,DCA
61,64,2003,,2009,general,DCA
61,64,2004,,2010,general,DCA
61,60,1995,,2001,general,DIC
61,171,1992,,1998,general,DIC
61,171,1993,1993,2010,general,DIC
61,132,1987,,1993,general,DCA
61,179,2009,,2010,general,DCA
61,29,2009,,2010,general,DCA
61,130,2009,,2010,general,DCA
61,164,1998,2004,2010,general,DCA
61,37,2010,,2010,general,DCA
61,100,2005,,2010,sector,COMMISSION
61,100,2007,2007,2010,general,DCA
61,168,1980,,1986,sector,PROCUREMENT
61,183,2000,2000,2010,general,DCA
61,82,1983,,1989,sector,PROCUREMENT
61,82,2009,,2010,sector,PROCUREMENT
61,88,1995,,2001,general,DCA
61,84,1994,,2000,general,DIC
61,154,2006,,2010,general,DIC
61,196,2005,2005,2010,general,DCA
61,93,1992,,1998,sector,TREX
61,93,2006,,2010,sector,PROCUREMENT
61,93,2009,,2010,general,DCA
61,144,1998,,2004,general,DCA
61,188,1998,,2004,sector,TREX
61,192,2000,,2006,sector,RESEARCH
61,89,2009,2011,2010,general,DCA
61,89,2009,2011,2010,sector,PROCUREMENT
61,145,1990,,1996,sector,PROCUREMENT
61,145,1999,,2005,general,DIC
61,87,2002,,2008,sector,TREX
61,79,1982,,1988,general,DCA
61,79,1983,,1989,general,DIC
61,79,2006,2006,2010,general,DCA
61,13,2003,,2009,sector,TREX
61,195,1997,,2003,general,DCA
61,195,2009,,2010,sector,PROCUREMENT
61,195,2010,,2010,general,DCA
61,107,1993,,1999,general,DCA
61,159,1998,2003,2010,general,DCA
61,24,1999,,2005,general,DCA
61,141,1994,1994,2010,general,DCA
61,80,1996,1996,2006,general,DIC
61,8,1990,1990,2010,sector,RESEARCH
61,8,2006,2009,2010,general,DCA
172,166,2001,,2007,general,DIC
172,166,2008,2008,2010,sector,TREX
172,65,2003,2003,2010,sector,TREX
172,65,2009,2009,2010,general,DIC
172,9,2004,2004,2010,sector,TREX
172,46,2008,2008,2010,general,DIC
172,85,2003,2008,2010,general,DIC
172,85,2004,2006,2010,sector,TREX
172,25,1995,,2001,general,DCA
172,96,2003,,2009,general,DCA
172,187,2002,2002,2010,general,DCA
172,60,2004,2004,2010,general,DIC
172,60,2005,2005,2010,sector,TREX
172,171,2004,2004,2010,general,DIC
172,132,2004,2004,2010,general,DIC
172,132,2005,2005,2010,sector,TREX
172,47,2007,2007,2010,general,DIC
166,143,1998,,2004,general,DCA
166,143,1999,,2005,general,DIC
166,65,1995,,2001,general,DIC
166,220,1989,,1995,sector,TREX
166,220,1989,,1995,sector,COMMISSION
166,142,1994,1994,2010,general,DCA
166,142,1996,,2002,sector,COMMISSION
166,142,1999,,2005,general,DIC
166,9,1998,,2004,general,DIC
166,77,1990,,1996,general,DCA
166,77,1995,,2001,general,DCA
166,77,2005,,2010,general,DIC
166,46,1995,,2001,general,DCA
166,46,1996,,2002,sector,COMMISSION
166,160,1999,1999,2010,general,DCA
166,85,1980,1984,2010,general,DIC
166,1,2005,2005,2010,general,DIC
166,104,2009,,2010,general,DCA
166,43,1999,,2005,general,DCA
166,206,2009,2010,2010,general,DCA
166,21,2006,,2010,general,DCA
166,161,1997,,2003,general,DCA
166,161,1997,,2003,sector,COMMISSION
166,67,1985,1987,2010,general,DCA
166,67,1985,,1991,sector,PROCUREMENT
166,25,1995,,2001,sector,COMMISSION
166,25,1995,,2001,general,DCA
166,25,2002,,2008,general,DCA
166,25,2005,,2010,general,DIC
166,146,1994,,2000,general,DCA
166,146,1994,,2000,sector,COMMISSION
166,147,1992,,1998,general,DCA
166,57,1999,,2005,general,DCA
166,96,2001,,2007,general,DCA
166,102,2001,,2007,general,DCA
166,187,1996,,2002,general,DCA
166,60,1997,,2003,general,DIC
166,171,2003,2003,2010,general,DIC
166,132,1985,1985,2010,general,DIC
166,132,2000,,2006,general,DIC
166,31,2006,,2010,general,DCA
166,112,1989,1990,2010,general,DCA
166,112,2000,,2006,sector,TREX
166,62,2010,,2010,general,DIC
166,121,2006,,2010,general,DIC
166,164,1997,1997,2010,general,DIC
